spu_code,month,qty,revenue
PR000041,2025-11,178,606.01
PR000041,2025-12,379,1256.84
PR000041,2026-01,413,1424.01
PR000041,2026-02,5,20.51
PR000042,2025-05,4,3.04
PR000042,2025-06,62,110.15
PR000042,2025-07,659,2031.61
PR000042,2025-08,652,2083.84
PR000042,2025-09,544,1892.9
PR000042,2025-10,358,1321.1
PR000042,2025-11,323,1184.26
PR000042,2025-12,338,1178.37
PR000042,2026-01,304,1014.76
PR000042,2026-02,7,23.27
PR000043,2025-05,6,3.56
PR000043,2025-06,168,318.25
PR000043,2025-07,2245,6415.53
PR000043,2025-08,1724,5309.78
PR000043,2025-09,1369,4295.48
PR000043,2025-10,879,2826.54
PR000043,2025-11,454,1473.16
PR000043,2025-12,622,1949.58
PR000043,2026-01,540,1747.2
PR000043,2026-02,524,1693.9
PR000044,2025-05,3,0.53
PR000044,2025-06,78,146.42
PR000044,2025-07,648,1962.72
PR000044,2025-08,650,2146.12
PR000044,2025-09,569,1936.9
PR000044,2025-10,377,1340.64
PR000044,2025-11,346,1183.0
PR000044,2025-12,287,940.9
PR000044,2026-01,209,671.59
PR000045,2025-05,9,20.07
PR000045,2025-06,87,135.12
PR000045,2025-07,1455,4228.18
PR000045,2025-08,1344,4268.48
PR000045,2025-09,1387,4975.74
PR000045,2025-10,813,3377.97
PR000045,2025-11,451,1956.24
PR000045,2025-12,367,1425.58
PR000045,2026-01,441,1698.24
PR000045,2026-02,194,798.6
PR000047,2025-05,9,27.31
PR000047,2025-06,23,15.86
PR000047,2025-07,115,330.32
PR000047,2025-08,131,401.31
PR000047,2025-09,272,917.82
PR000047,2025-10,433,1485.68
PR000047,2025-11,479,1573.39
PR000047,2025-12,849,2861.0
PR000047,2026-01,781,2841.97
PR000047,2026-02,294,1107.32
PR000048,2025-05,44,83.62
PR000048,2025-06,64,50.05
PR000048,2025-07,512,1560.29
PR000048,2025-08,590,1816.86
PR000048,2025-09,605,1930.79
PR000048,2025-10,473,1620.11
PR000048,2025-11,323,1078.88
